panel_rule,vertical,entity,mentions,panel_observations,coverage,prominence,breadth,gci,geometric,arithmetic,harmonic,weighted,rank_gci,rank_coverage,abs_rank_shift
series,saude,Roche,24,17146,0.0013997433803802637,0.18083333333333332,0.16666666666666666,0.03481169901454635,0.03481169901454635,0.11629991446012673,0.004132535251128751,0.07104817936156149,53,46,7
series,varejo,Target,8,17204,0.00046500813764240875,0.43500000000000005,0.16666666666666666,0.03230473527852373,0.03230473527852373,0.20071055826810302,0.0013896616626423272,0.13402900488258546,54,56,2
series,fintech,CloudWalk,11,17225,0.0006386066763425254,0.30363636363636365,0.16666666666666666,0.031852632328353,0.031852632328353,0.15698054565979094,0.0019045170333492646,0.10129225491489642,55,52,3
series,varejo,Grupo Boticário,4,17204,0.00023250406882120437,0.43374999999999997,0.16666666666666666,0.025615702159807317,0.025615702159807317,0.2002163902451626,0.000696167866737019,0.13357700244129272,56,58,2
series,tecnologia,Tivit,8,17049,0.0004692357323010147,0.21000000000000002,0.16666666666666666,0.025418682717912637,0.025418682717912637,0.12571196746632254,0.0014006341760297025,0.07778154143938061,57,55,2
series,tecnologia,TCS,9,17049,0.0005278901988386416,0.1711111111111111,0.16666666666666666,0.024692033256720092,0.024692033256720092,0.11276855599220548,0.0015738303578931112,0.06809451189708096,58,54,4
series,tecnologia,Sinqia,2,17049,0.00011730893307525368,0.375,0.16666666666666666,0.019426908771873194,0.019426908771873194,0.1805946585332473,0.0003515693665891912,0.11882038535984514,59,59,0
series,fintech,Stone Co,1,17225,5.8055152394775034e-05,0.505,0.16666666666666666,0.016969158220585364,0.016969158220585364,0.2239082406063538,0.0001740848051542891,0.15128483309143687,60,66,6
series,varejo,Petz,1,17204,5.812601720530109e-05,0.35,0.16666666666666666,0.015023200153138858,0.015023200153138858,0.17224159756129065,0.0001742883226823803,0.11253487561032317,61,63,2
series,fintech,Dock,2,17225,0.00011611030478955007,0.1725,0.16666666666666666,0.014945239234889097,0.014945239234889097,0.1130942589904854,0.00034785443552215554,0.06819466618287373,62,60,2
series,fintech,Wise,2,17225,0.00011611030478955007,0.11499999999999999,0.16666666666666666,0.013055869036409587,0.013055869036409587,0.09392759232381874,0.00034773756397237247,0.053819666182873725,63,61,2
series,tecnologia,Salesforce,1,17049,5.865446653762684e-05,0.10999999999999999,0.16666666666666666,0.010245052179594014,0.010245052179594014,0.09224177371106808,0.00017580778349005088,0.05253519267992257,64,62,2
series,varejo,Riachuelo,1,17204,5.812601720530109e-05,0.10499999999999998,0.16666666666666666,0.010057025198190647,0.010057025198190647,0.09057493089462398,0.00017422084566245404,0.051284875610323175,65,64,1
series,varejo,Netshoes,1,17204,5.812601720530109e-05,0.07499999999999996,0.16666666666666666,0.008990010377217876,0.008990010377217876,0.08057493089462398,0.00017418231081865688,0.04378487561032317,66,65,1
recency,fintech,Nubank,4271,13673,0.3123674394792657,0.5313872629360805,1.0,0.5495733094942418,0.5495733094942418,0.6145849008051154,0.4931594911112123,0.47026727942157953,1,1,0
recency,varejo,Mercado Livre,2236,13652,0.16378552593026663,0.5790295169946333,1.0,0.4560285934961246,0.4560285934961246,0.5809383476416333,0.33965186600225017,0.39302869480681835,2,2,0
recency,varejo,Magazine Luiza,1720,13652,0.1259888661002051,0.4676889534883721,1.0,0.3891315343865134,0.3891315343865134,0.531225939862859,0.2708710052611452,0.3425155580322161,3,3,0
recency,saude,EMS Pharma,761,13594,0.05598057966750037,0.5089618922470434,0.8,0.28353339287672685,0.28353339287672685,0.45498082397151457,0.14232767472386143,0.280828820862261,4,5,1
recency,tecnologia,Totvs,897,13497,0.06645921315847966,0.38054626532887403,0.8,0.2724901965053727,0.2724901965053727,0.41566849282911794,0.15852362409305948,0.2550120942273063,5,4,1
recency,fintech,C6 Bank,547,13673,0.040005850947122064,0.48111517367458867,0.8,0.24878308631495283,0.24878308631495283,0.44037367487390355,0.1059140720313901,0.26428230398692043,6,8,2
recency,varejo,Americanas,588,13652,0.04307061236448872,0.35333333333333333,1.0,0.24781174489885216,0.24781174489885216,0.465467981899274,0.11091444027903004,0.26417570075202657,7,6,1
recency,fintech,PicPay,472,13673,0.03452058802018577,0.4633156779661017,0.8,0.23389183225930596,0.23389183225930596,0.43261208866209583,0.09265958213972604,0.2565412723036369,8,9,1
recency,fintech,Banco Inter,413,13673,0.030205514517662548,0.45329297820823244,0.8,0.22208458013542734,0.22208458013542734,0.42783283090863167,0.08205102113660508,0.25144655326265564,9,10,1
recency,saude,Hypera Pharma,579,13594,0.04259232014123878,0.3789291882556131,0.6,0.21314748011874227,0.21314748011874227,0.34050716946561727,0.10797545115356186,0.21028768914864654,10,7,3
recency,saude,Eurofarma,303,13594,0.022289245255259674,0.32222772277227724,0.8,0.17910845349371496,0.17910845349371496,0.38150565600917896,0.06095320850117285,0.2139304778462251,11,14,3
recency,varejo,Amazon Brasil,326,13652,0.02387928508643422,0.3782208588957055,0.6,0.1756464388604932,0.1756464388604932,0.3340333813273799,0.06495204088678817,0.19888278577578689,12,12,0
recency,varejo,Amazon,321,13652,0.023513038382654557,0.38169781931464175,0.6,0.175277657578862,0.175277657578862,0.33507028589909876,0.06408047115869445,0.19953227785825317,13,13,0
recency,fintech,Bradesco,364,13673,0.0266218094053975,0.27490384615384617,0.6,0.1637532313736681,0.1637532313736681,0.30050855185308123,0.0699831053511781,0.17469904718170004,14,11,3
recency,tecnologia,Involves,172,13497,0.012743572645773135,0.6912790697674418,0.4,0.15217204114414015,0.15217204114414015,0.3680075474710716,0.03640002579643374,0.24046591102932433,15,23,8
recency,tecnologia,Microsoft,267,13497,0.019782173816403646,0.2797191011235955,0.6,0.1491817838480361,0.1491817838480361,0.29983375831333303,0.053770915279851436,0.17179907957074106,16,15,1
recency,fintech,Mercado Pago,251,13673,0.018357346595480144,0.43298804780876493,0.4,0.14704443819976615,0.14704443819976615,0.28378179813474835,0.05060418345438423,0.1792614199094793,17,17,0
recency,tecnologia,Google,235,13497,0.017411276579980737,0.2618936170212766,0.6,0.13986281323789201,0.13986281323789201,0.2931016312004191,0.04768031036909011,0.1659201702033076,18,20,2
recency,fintech,PagBank,187,13673,0.013676588897827836,0.4247593582887701,0.4,0.13245252647490907,0.13245252647490907,0.2794786490621993,0.03847538897879985,0.17439579291088922,19,22,3
recency,tecnologia,Accenture,244,13497,0.01807809142772468,0.29920081967213114,0.4,0.12933769481360477,0.12933769481360477,0.2390929703666186,0.04905342376373628,0.14564705977466758,20,19,1
recency,saude,Sírio-Libanês,186,13594,0.013682506988377226,0.26099462365591397,0.6,0.12891877299917767,0.12891877299917767,0.2915590435480971,0.03817562033158087,0.1634581601070048,21,21,0
recency,tecnologia,Movile,246,13497,0.018226272505001112,0.24680894308943088,0.4,0.12162968470211076,0.12162968470211076,0.221678405198144,0.04884595671802986,0.13263799927535838,22,18,4
recency,saude,Raia Drogasil,104,13594,0.00765043401500662,0.3879326923076923,0.6,0.12120798595610273,0.12120798595610273,0.3318610421075663,0.022229472012159527,0.19157343348592704,23,29,6
recency,tecnologia,iFood,139,13497,0.01029858487071201,0.19841726618705036,0.8,0.11780100628470985,0.11780100628470985,0.33623861701925417,0.02901617653241924,0.1757834674691898,24,24,0
recency,saude,Pfizer,137,13594,0.010077975577460645,0.24711678832116787,0.6,0.11432527840378211,0.11432527840378211,0.2857315879662095,0.028587869684158537,0.15782598242676835,25,25,0
recency,saude,Novartis,122,13594,0.008974547594526996,0.23467213114754099,0.6,0.10811230105465869,0.10811230105465869,0.28121555958068933,0.02556364414436451,0.15405276134360144,26,26,0
recency,fintech,Itaú,122,13673,0.008922694361149711,0.2224590163934426,0.6,0.10599834715283221,0.10599834715283221,0.2771272369181974,0.02537305856175672,0.15096837071505048,27,28,1
recency,varejo,Walmart,261,13652,0.019118077937298566,0.3105172413793103,0.2,0.10588960157630935,0.10588960157630935,0.17654510643886964,0.049564700903369924,0.11910015710720671,28,16,12
recency,varejo,Renner,73,13652,0.005347201875183123,0.3678767123287671,0.6,0.10568013899990465,0.10568013899990465,0.3244079714013168,0.015674090329325235,0.18517749920730164,29,35,6
recency,varejo,Casas Bahia,101,13652,0.007398183416349253,0.238019801980198,0.6,0.10185049515524461,0.10185049515524461,0.2818059951321824,0.02127111735887705,0.15394386054485903,30,30,0
recency,saude,Hapvida,51,13594,0.0037516551419744006,0.45656862745098037,0.6,0.10091601106074137,0.10091601106074137,0.3534400941976516,0.011094430941990011,0.20639314994792973,31,40,9
recency,saude,Fleury,93,13594,0.006841253494188613,0.36575268817204304,0.4,0.10002941609229826,0.10002941609229826,0.2575313138887439,0.019814257070745005,0.15554292413952392,32,31,1
recency,saude,Dasa,67,13594,0.0049286449904369575,0.48089552238805966,0.4,0.09823797928024151,0.09823797928024151,0.2952747224594989,0.014459575105217408,0.18318106759127709,33,37,4
recency,tecnologia,Oracle,121,13497,0.008964955175224124,0.18727272727272729,0.4,0.08757111572364673,0.08757111572364673,0.19874589414931712,0.025128730219164813,0.11219715492331629,34,27,7
recency,tecnologia,Stefanini,59,13497,0.004371341779654738,0.3791525423728813,0.4,0.08719593571202622,0.08719593571202622,0.26117462805084535,0.012825984541758517,0.1574109406610132,35,38,3
