series,cum_share_entities,cum_share_mentions
mentions_full_cohort,0.12598425196850394,0.0
mentions_full_cohort,0.13385826771653545,0.0
mentions_full_cohort,0.14173228346456693,0.0
mentions_full_cohort,0.14960629921259844,0.0
mentions_full_cohort,0.15748031496062992,0.0
mentions_full_cohort,0.16535433070866143,0.0
mentions_full_cohort,0.1732283464566929,0.0
mentions_full_cohort,0.18110236220472442,0.0
mentions_full_cohort,0.1889763779527559,0.0
mentions_full_cohort,0.1968503937007874,0.0
mentions_full_cohort,0.2047244094488189,0.0
mentions_full_cohort,0.2125984251968504,0.0
mentions_full_cohort,0.2204724409448819,0.0
mentions_full_cohort,0.2283464566929134,0.0
mentions_full_cohort,0.23622047244094488,0.0
mentions_full_cohort,0.2440944881889764,0.0
mentions_full_cohort,0.25196850393700787,0.0
mentions_full_cohort,0.25984251968503935,0.0
mentions_full_cohort,0.2677165354330709,0.0
mentions_full_cohort,0.2755905511811024,0.0
mentions_full_cohort,0.28346456692913385,0.0
mentions_full_cohort,0.29133858267716534,0.0
mentions_full_cohort,0.2992125984251969,0.0
mentions_full_cohort,0.30708661417322836,0.0
mentions_full_cohort,0.31496062992125984,0.0
mentions_full_cohort,0.3228346456692913,0.0
mentions_full_cohort,0.33070866141732286,0.0
mentions_full_cohort,0.33858267716535434,0.0
mentions_full_cohort,0.3464566929133858,0.0
mentions_full_cohort,0.3543307086614173,0.0
mentions_full_cohort,0.36220472440944884,0.0
mentions_full_cohort,0.3700787401574803,0.0
mentions_full_cohort,0.3779527559055118,0.0
mentions_full_cohort,0.3858267716535433,0.0
mentions_full_cohort,0.3937007874015748,0.0
mentions_full_cohort,0.4015748031496063,0.0
mentions_full_cohort,0.4094488188976378,0.0
mentions_full_cohort,0.41732283464566927,0.0
mentions_full_cohort,0.4251968503937008,0.0
mentions_full_cohort,0.4330708661417323,0.0
mentions_full_cohort,0.4409448818897638,0.0
mentions_full_cohort,0.44881889763779526,0.0
mentions_full_cohort,0.4566929133858268,0.0
mentions_full_cohort,0.4645669291338583,0.0
mentions_full_cohort,0.47244094488188976,0.0
mentions_full_cohort,0.48031496062992124,0.0
mentions_full_cohort,0.4881889763779528,5.247415647793462e-05
mentions_full_cohort,0.49606299212598426,0.00010494831295586924
mentions_full_cohort,0.5039370078740157,0.00015742246943380384
mentions_full_cohort,0.5118110236220472,0.00020989662591173848
mentions_full_cohort,0.5196850393700787,0.00026237078238967306
mentions_full_cohort,0.5275590551181102,0.00036731909534554235
mentions_full_cohort,0.5354330708661418,0.00047226740830141157
mentions_full_cohort,0.5433070866141733,0.0005772157212572807
mentions_full_cohort,0.5511811023622047,0.0007871123471690193
mentions_full_cohort,0.5590551181102362,0.0009970089730807576
mentions_full_cohort,0.5669291338582677,0.0014168022249042348
mentions_full_cohort,0.5748031496062992,0.0018365954767277117
