engine,n,n_queries,window_chars,cited,rate_pct,ci_lo_pct,ci_hi_pct,rate_full_pct,gap_to_full_pp,saturation_window,window_95pct_of_full,median_len_full,dates
Claude,192,192,1200,126,65.625,58.65946346920546,71.97756321620847,66.14583333333334,0.5208333333333428,1200,1200,1130.5,2026-09-08
Claude,192,192,1600,127,66.14583333333334,59.194016741707415,72.46424416655366,66.14583333333334,0.0,1200,1200,1130.5,2026-09-08
Claude,192,192,full,127,66.14583333333334,59.194016741707415,72.46424416655366,66.14583333333334,0.0,1200,1200,1130.5,2026-09-08
Gemini,768,192,50,2,0.26041666666666663,0.07144471668867154,0.9444969292388722,33.33333333333333,33.072916666666664,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,100,12,1.5625,0.8960370900143536,2.7111102719883853,33.33333333333333,31.77083333333333,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,150,18,2.34375,1.4875905462587504,3.6742802453891064,33.33333333333333,30.98958333333333,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,200,20,2.604166666666667,1.692020103068395,3.9880918317945007,33.33333333333333,30.72916666666666,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,300,37,4.817708333333334,3.51522178185292,6.569939870337809,33.33333333333333,28.515624999999993,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,400,80,10.416666666666668,8.449613927567576,12.777732303746495,33.33333333333333,22.91666666666666,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,600,131,17.057291666666664,14.562631766874754,19.879863616422806,33.33333333333333,16.276041666666664,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,800,142,18.489583333333336,15.90316321715674,21.38965845382354,33.33333333333333,14.843749999999993,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,1200,166,21.614583333333336,18.848566963012498,24.663148426548254,33.33333333333333,11.718749999999993,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
Gemini,768,192,1600,200,26.041666666666668,23.062533419675635,29.259281404540783,33.33333333333333,7.291666666666661,full,full,452.0,"2026-09-06,2026-09-07,2026-09-08"
